count_nintendo_games,name_column,platform_column,year_game,genre_column,transform_date
620,POCKET SOCCER LEAGUE: CALCIOBIT,3DS,2012,Sports,2023-08-25
621,FATAL FRAME: MAIDEN OF BLACK WATER,WiiU,2014,Action,2023-08-25
622,ZANGEKI NO REGINLEIV,Wii,2010,Action,2023-08-25
623,KOUSOKU CARD BATTLE: CARD HERO,DS,2007,Strategy,2023-08-25
624,ODAMA,GC,2006,Misc,2023-08-25
625,SOMA BRINGER,DS,2008,Role-Playing,2023-08-25
626,FAMICOM MINI: FAMICOM TANTEI CLUB - KIETA KOUKEISHA ZENKOUHEN,GBA,2004,Adventure,2023-08-25
627,IROZUKI TINGLE NO KOI NO BALLOON TRIP,DS,2009,Adventure,2023-08-25
628,PICROSS 3D 2,3DS,2015,Puzzle,2023-08-25
629,DYNASTY WARRIORS ADVANCE,GBA,2005,Action,2023-08-25
630,MEGA MAN BATTLE NETWORK 5: DOUBLE TEAM DS (JP SALES),DS,2005,Role-Playing,2023-08-25
631,FATAL FRAME 2: WII EDITION,Wii,2012,Action,2023-08-25
632,MICKEY'S SPEEDWAY USA (WEEKLY JP SALES),N64,2000,Racing,2023-08-25
633,PROJECT HACKER: KAKUSEI,DS,2006,Action,2023-08-25
634,L'AIGLE DE GUERRE,GBA,2001,Strategy,2023-08-25
635,NIHON KEIZAI SHINBUNSHA KANSHUU: SHIRANAI MAMADE WA SON O SURU MONO YA OKANE NO SHIKUMI DS,DS,2009,Misc,2023-08-25
636,FAMICOM MINI: FAMICOM TANTEI CLUB PART II - USHIRO NI TATSU SHOUJO ZENKOUHEN,GBA,2004,Adventure,2023-08-25
637,FAMICOM MINI: MAPPY,GBA,2004,Platform,2023-08-25
638,TOUCH MECHANIC,DS,2008,Simulation,2023-08-25
639,TERRANIGMA,SNES,1995,Role-Playing,2023-08-25
640,BRAIN AGE: CONCENTRATION TRAINING,3DS,2012,Puzzle,2023-08-25
641,POKEMON RUMBLE WORLD,3DS,2015,Action,2023-08-25
642,DISNEY ART ACADEMY,3DS,2016,Action,2023-08-25
643,INAZUMA ELEVEN 3,3DS,2013,Role-Playing,2023-08-25
644,KURIKIN: NANO ISLAND STORY,DS,2007,Role-Playing,2023-08-25
645,TABI NO YUBISASHI KAIWACHOU DS: DS SERIES 4 AMERICA,DS,2006,Misc,2023-08-25
646,JUST DANCE WII U,WiiU,2014,Misc,2023-08-25
647,FAMICOM MINI: FAMICOM MUKASHI BANASHI - SHIN ONIGA SHIMA ZENKOUHEN,GBA,2004,Adventure,2023-08-25
648,FAMICOM MINI: MARIO BROS.,GBA,2004,Platform,2023-08-25
649,ZERO: TSUKIHAMI NO KAMEN,Wii,N/A,Action,2023-08-25
650,FAMICOM MINI: SD GUNDAM WORLD GACHAPON SENSHI - SCRAMBLE WARS,GBA,2004,Strategy,2023-08-25
651,FAMICOM MINI: STAR SOLDIER,GBA,2004,Shooter,2023-08-25
652,MINNA NO JOUSHIKI RYOKU TV,Wii,2008,Misc,2023-08-25
653,DISASTER: DAY OF CRISIS,Wii,2008,Action,2023-08-25
654,FAMICOM MINI: HIKARI SHINWA: PALUTENA NO KAGAMI,GBA,2004,Platform,2023-08-25
655,MEGA MAN BATTLE NETWORK 5: DOUBLE TEAM DS (US SALES),DS,2005,Role-Playing,2023-08-25
656,DS URANAI SEIKATSU,DS,2009,Misc,2023-08-25
657,MAKE 10: A JOURNEY OF NUMBERS,DS,2007,Puzzle,2023-08-25
658,ITOI SHIGESATO NO BASS TSURI NO. 1 KETTEIHAN!,N64,2000,Sports,2023-08-25
659,FAMICOM MINI: NAZO NO MURASAME-JOU,GBA,2004,Action,2023-08-25
660,FAMICOM MINI: WRECKING CREW,GBA,2004,Puzzle,2023-08-25
661,MARIO TENNIS,Wii,2010,Sports,2023-08-25
662,KANJI SONOMAMA DS RAKUBIKI JITEN,DS,2006,Misc,2023-08-25
